D:\weblikefood\src\app\admin\pages\page.tsx: line 242, col 9, Warning - 'movePage' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 13, col 3, Warning - 'Eye' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 20, col 3, Warning - 'Filter' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 23, col 3, Warning - 'TrendingUp' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 24, col 3, Warning - 'AlertTriangle' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 25, col 3, Warning - 'CheckCircle' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 26, col 3, Warning - 'MoreHorizontal' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 89, col 10, Warning - 'selectedProduct' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 89, col 27, Warning - 'setSelectedProduct' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 90, col 10, Warning - 'drawerOpen' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\products\page.tsx: line 90, col 22, Warning - 'setDrawerOpen' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\reviews\page.tsx: line 12, col 17, Warning - 'Filter' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\admin\verify\page.tsx: line 138, col 18, Warning - 'err' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\admin\orders\cleanup\route.ts: line 97, col 27, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\ai\content\route.ts: line 14, col 3, Warning - 'generateProductDescription' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\ai\intent\route.ts: line 9, col 63, Warning - '_Intent' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\ai\knowledge\seed\route.ts: line 14, col 28, Warning - '_req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\auth\google\link\route.ts: line 43, col 28, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\auth\google\link\route.ts: line 69, col 30, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\auth\magic-link\route.ts: line 77, col 15, Warning - 'message' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\behavior\segments\route.ts: line 16, col 7, Warning - '_SEGMENTS' is assigned a value but only used as a type. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\cart\route.ts: line 336, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\api\chat\route.ts: line 30, col 22, Warning - 'history' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\email\trigger\route.ts: line 12, col 10, Warning - 'Prisma' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\notify\preferences\route.ts: line 12, col 10, Warning - 'Prisma' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\notify\send\route.ts: line 12, col 10, Warning - 'Prisma' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\orders\pickup\route.ts: line 15, col 10, Warning - 'STORE_ADDRESS' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\orders\pickup\route.ts: line 38, col 13, Warning - 'email' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\orders\route.ts: line 253, col 58, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\api\orders\route.ts: line 270, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\app\api\products\[slug]\qa\route.ts: line 22, col 17, Warning - 'slug' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\products\[slug]\qa\route.ts: line 70, col 17, Warning - 'slug' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\products\[slug]\reviews\route.ts: line 21, col 17, Warning - 'slug' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
